Date                          Temperature (F)     Humidity (%)
2020 - 03 - 07  19:24:42      77.0*F              
2020 - 03 - 07  19:24:48      78.8*F
2020 - 03 - 07  19:24:51      78.8*F
2020 - 03 - 07  19:24:54      78.8*F
2020 - 03 - 07  19:24:57      78.8*F
2020 - 03 - 07  19:25:00      78.8*F
2020 - 03 - 07  19:25:03      80.6*F
2020 - 03 - 07  19:25:06      80.6*F
2020 - 03 - 07  19:36:07      80.6*F
2020 - 03 - 07  19:37:07      75.2*F
2020 - 03 - 07  19:38:09      75.2*F
2020 - 03 - 07  19:39:10      75.2*F                      
2020 - 03 - 07  20:26:50      75.2*F              44.0%
2020 - 03 - 07  20:26:51      75.2*F              43.0%
2020 - 03 - 07  20:26:53      75.2*F              45.0%
2020 - 03 - 07  20:26:54      75.2*F              45.0%
2020 - 03 - 07  20:26:56      75.2*F              45.0%
2020 - 03 - 07  20:27:26      75.2*F              45.0%
2020 - 03 - 07  20:27:28      75.2*F              43.0%
2020 - 03 - 07  20:27:32      75.2*F              45.0%
2020 - 03 - 07  20:27:36      75.2*F              45.0%
